"episode_num","episode","comment_txt","username","likes","reply","likes_per_ep"
"#2","Uh oh","So, yeah, written too fragment...","LaNoir","10",FALSE,"435"
"#2","Uh oh","Hmmmmm dang","Bluebell Angel","1",FALSE,"435"
"#2","Uh oh","Ayyy that’s my subway! The A at 168 ","Elanarana","3",FALSE,"435"
"#2","Uh oh","“Lady-boy” BOI YOU JUST JEALOUS YOU AREN’T AS FAB","gilleanfryingpan","17",FALSE,"435"
"#3","Flash Back ","Uh,,,,, wHAT","Katalista","0",FALSE,"370"
"#3","Flash Back ","Um..what in the world?","RogueSavage8","3",FALSE,"370"
"#3","Flash Back ","honestly tho thats messed up ti say to your older brother who is letting you stay at his place","Random-_-Name","10",FALSE,"370"
"#3","Flash Back ","what.... happened.... ?","crunchy_tomato_soup","6",FALSE,"370"
"#3","Flash Back ","I feel like he had sex for money","Steph_Mess","1",TRUE,"370"
"#3","Flash Back ","he needed to eat :/ EBT is a welfare card for food only. It's not a cash card. ","CopperMortar","2",TRUE,"370"
"#3","Flash Back ","That’s so sad.... ;;","ellshellecat","12",FALSE,"370"
"#3","Flash Back ","harsh","catberra","11",FALSE,"370"
"#3","Flash Back ","Shots fIRED","gilleanfryingpan","12",FALSE,"370"
"#4","Work It Out","was that... a doctor who reference? \"not if I see you first\" omg","desila.s67","1",FALSE,"335"
"#4","Work It Out","that is one polit dealer","Angie-O","1",FALSE,"335"
"#4","Work It Out","Wait, the trainer is positive and might have infected his ex and a child? His ass needs to be in jail ","Talsong Kingslayer","5",FALSE,"335"
"#4","Work It Out","I'm so confused not gonna lie.","SadSoulInTheDark","9",FALSE,"335"
"#4","Work It Out","I been confused from the get-go tbh","RogueSavage8","1",TRUE,"335"
"#4","Work It Out","The worst thing you can do is not telling people you are positive. His ex and daughter could have it too and spread it because he didn't tell them. Don't know how this is handled in America, but in Germany that's bodily injury and will bring you some years in prison.","LaNoir","9",FALSE,"335"
"#4","Work It Out","It's pretty much the same in America. There's a story about a man who passed on an STD to over 15 woman and he was sued and sent to jail because he told any of them. ","Jaine","5",TRUE,"335"
"#4","Work It Out","It's considered assault with a deadly weapon in almost all states, except batshit crazy California. ","Talsong Kingslayer","3",TRUE,"335"
"#4","Work It Out","Wait, seriously?","Imama Reza","1",TRUE,"335"
"#4","Work It Out","I feel like this series is gonna make me cry my eyes out. `¬` help","ChickenNuggetMan","3",FALSE,"335"
"#4","Work It Out","I sense a ship","emberkitten","1",FALSE,"335"
"#4","Work It Out","not the time man","VICTUURI|OTAYURI","1",TRUE,"335"
"#4","Work It Out","group as in support group","catberra","8",FALSE,"335"
"#4","Work It Out","Hawt","gilleanfryingpan","1",FALSE,"335"
"#5","Doctor Visit","What does that mean ","Katalista","0",FALSE,"338"
"#5","Doctor Visit","HES IN HAMILTON ","Spice&Sugar ","3",FALSE,"338"
"#5","Doctor Visit","I am so confused","Yoko Arai","0",FALSE,"338"
"#5","Doctor Visit","“Protection”  “Sometimes” This shit makes me want to die a Virgin... although I wouldn’t be dumb enough not to use protection every time.","Honin Akecheta","10",FALSE,"338"
"#5","Doctor Visit","omg, if this is a true story im gonna cry.","sergeantkero","11",FALSE,"338"
"#5","Doctor Visit","Even if this isn't, I bet something like this happens all the time. It's scary to me.","Lily23","5",TRUE,"338"
"#5","Doctor Visit","What does detectable mean","<U+0001D49C><U+0001D4CE> <U+2727>","1",TRUE,"338"
"#5","Doctor Visit","i think it means that the std or sti (sexually transmitted disease/illness) is found in the blood, its \"detected\" in the blood stream showing that the person is infected?????","sergeantkero","1",TRUE,"338"
"#5","Doctor Visit","^^ you're on the right track. there is no cure for HIV, so once you have it that's it. This guy was once undetectable, which means the virus level was so low a machine couldnt detect it. You can't pass HIV to others in that state. But once the virus level in your blood rises to detectable levels, you are in a state where you can pass it to others.","Flannagenwaters","0",TRUE,"338"
"#5","Doctor Visit","Ooooooof","gilleanfryingpan","13",FALSE,"338"
"#5","Doctor Visit","looks like it's just me and you","Jasmine Groves","1",TRUE,"338"
"#5","Doctor Visit","I'm here","LyricaTheDeer","0",TRUE,"338"
"#5","Doctor Visit","Me tooo","MustachioPistachio","0",TRUE,"338"
"#5","Doctor Visit","Me too!","Seramoon","0",TRUE,"338"
"#5","Doctor Visit","met too!","<U+0001F5A4>teasipper<U+0001F5A4>","0",TRUE,"338"
"#5","Doctor Visit","Hello.","thriveorfall","0",TRUE,"338"
"#6","Brunchy Brunch","wait what...... what kinda crazy person just goes: HEY LET'S RAISE OUR FRIEND'S BROTHER!! WHEEE!!","happycat(:","56",FALSE,"308"
"#6","Brunchy Brunch","Not even that, he legit just said let’s raise a young black orphan! Why??? <U+2640><U+FE0F><U+2640><U+FE0F>","RedtheGreyFox","0",TRUE,"308"
"#6","Brunchy Brunch","There will be no hood-rat code-switching to improper English at brunch, young lady. Sounds like my dad.","gilleanfryingpan","49",FALSE,"308"
"#6","Brunchy Brunch","WE CAN BLOG ABOUT IT.  <U+0CA0>_<U+0CA0> Does this sound normal to you..?","gilleanfryingpan","41",FALSE,"308"
"#6","Brunchy Brunch","nope","catberra","5",TRUE,"308"
"#6","Brunchy Brunch","Sounds about right especially in 2018","Tyrkie","3",TRUE,"308"
"#6","Brunchy Brunch","I like the general plot of this story, but the chapters are too short and end abruptly.","Lindsay Stevens","1",FALSE,"308"
"#6","Brunchy Brunch","aNd PeGgy","WinterRose23","0",FALSE,"308"
"#6","Brunchy Brunch","that code switch comment rub me the wrong way. American \"proper\" english can kiss my behind ","KAJ_","1",FALSE,"308"
"#6","Brunchy Brunch","I love his friends","awesomealex134","2",FALSE,"308"
"#6","Brunchy Brunch","AND PEGGY","I Hate Mondayz","1",FALSE,"308"
"#6","Brunchy Brunch","my name is angelica and I'll be honest I can't even enjoy Hamilton anymore ","Angie-O","0",TRUE,"308"
"#6","Brunchy Brunch","Ugh, this is exhausting & I'm Beyond confused. At least i can say that i gave it a shot. I give the rest of you props for being able to follow the story.","RogueSavage8","7",FALSE,"308"
"#6","Brunchy Brunch","Stay with us. It picks up in the next couple episodes.","TESTED @YGetIt on IG","2",TRUE,"308"
"#6","Brunchy Brunch","I might try again, see if I can better understand.","RogueSavage8","4",TRUE,"308"
"#6","Brunchy Brunch","I feel you man. The concept seemed cool, but I have no idea what’s going on in this story ","<U+2665><U+FE0E>Aria<U+2665><U+FE0E>","3",TRUE,"308"
"#6","Brunchy Brunch","Yea, too scattered every which way.","RogueSavage8","3",TRUE,"308"
"#6","Brunchy Brunch","Rich has six fingers?","Pomegranate Child","9",FALSE,"308"
"#6","Brunchy Brunch","Huh? Where? ","AoiYeyi","0",TRUE,"308"
"#6","Brunchy Brunch","but I thought prep doesn't prevent hiv?","Danesha Allen","5",FALSE,"308"
"#6","Brunchy Brunch","It doesn't provide 100% protection but it does help prevent it. You still have to be careful and preferably use a condom","AllanoCaoimhe","6",TRUE,"308"
"#7","Rough Start","Damn, his mom and ex-foster parents suck ass ","Lindsay Stevens","1",FALSE,"279"
"#7","Rough Start","And this is why I will die in the closet ","CopperMortar","2",FALSE,"279"
"#7","Rough Start","what is the HAMILTON?","Sheila27","1",FALSE,"279"
"#7","Rough Start","A popular Broadway musical.","CopperMortar","1",TRUE,"279"
"#7","Rough Start","I also want to watch Hamilton.","Hannah Joy Galve","7",FALSE,"279"
"#7","Rough Start","Sad","catberra","6",FALSE,"279"
"#7","Rough Start","CAN I GET FREE TIX TO HAMILTON?!?!?!","gilleanfryingpan","11",FALSE,"279"
"#8","It Goes Down in the Bathroom","Do these idiots WANT to spread aids??? ","Honin Akecheta","11",FALSE,"267"
"#8","It Goes Down in the Bathroom","Who knows, maybe they didn't pay attention in Health class.","Imama Reza","1",TRUE,"267"
"#8","It Goes Down in the Bathroom","1. it's HIV not AIDS, two totally different illnesses 2. That's why the dude consented to have sex anyway, full disclosure is key. in another episode he said he was on prep, medicine someone can take to not contract HIV. ","Beast of No Nation","0",TRUE,"267"
"#8","It Goes Down in the Bathroom","Don’t they realize you can still get infected by oral","19danny15","24",FALSE,"267"
"#8","It Goes Down in the Bathroom","thats y the guy said he wasnt detectable, but the guy said he dont care","neftana23","3",TRUE,"267"
"#8","It Goes Down in the Bathroom","Wait, what? Really? That's shocking to know. Interesting(that sounds kinda bad..) But hmm..","Yumi Yamada","2",TRUE,"267"
"#8","It Goes Down in the Bathroom","Ur bro going... monkey poo..?","gilleanfryingpan","7",FALSE,"267"
"#8","It Goes Down in the Bathroom","ape shit","emberkitten","17",TRUE,"267"
"#9","Ape S#$%","Terrence's brother is a little sh*t, but give the kid a break. He just found out his older brother has HIV and lied about it. I'd be breaking sh*t too if it were me. ","Lindsay Stevens","3",FALSE,"262"
"#9","Ape S#$%","KICK. HIM. OUT.","Pomegranate Child","12",FALSE,"262"
"#9","Ape S#$%","then leave the house then ","neftana23","20",FALSE,"262"
"#9","Ape S#$%","THIS LIL S H . I T","Random-_-Name","11",FALSE,"262"
"#9","Ape S#$%","Those scratches are BS! He might end up infected ","Tyrkie","4",FALSE,"262"
"#9","Ape S#$%","Then good","Eden Spiva","0",TRUE,"262"
"#9","Ape S#$%","That's not how it works.","CopperMortar","4",TRUE,"262"
"#9","Ape S#$%","not how it works like...at all. also Lily doesn't have HIV","Beast of No Nation","0",TRUE,"262"
"#9","Ape S#$%","Can I call the lil bro a pain in the a$$ ?","akunomusumechan","12",FALSE,"262"
"#9","Ape S#$%","An ungrateful pain in the ass","CopperMortar","3",TRUE,"262"
"#9","Ape S#$%","Ouuuuuch","gilleanfryingpan","5",FALSE,"262"
"#10","Aftermath ","I don't get it...which Hamilton character is this guy?","happycat(:","7",FALSE,"246"
"#10","Aftermath ","that's what I was wondering","throw me off a bridg","0",TRUE,"246"
"#10","Aftermath ","I’m not sure if he’s Hercules Mulligan or an extra dancer","The UnWanted fan","5",TRUE,"246"
"#10","Aftermath ","yeah i was thinking he might be hercules mulligan (but idk much about him bcuz my parents always make me skips the parts of the songs with him in them)","happycat(:","1",TRUE,"246"
"#10","Aftermath ","yea....","happycat(:","1",TRUE,"246"
"#11","Well That's Not Very Nice","Damn, this story is keepin it 100.","Lindsay Stevens","3",FALSE,"250"
"#11","Well That's Not Very Nice","he just yeeted them so hard","saphirefan666","4",FALSE,"250"
"#11","Well That's Not Very Nice","Aaaaaaaah!!!","gilleanfryingpan","1",FALSE,"250"
"#11","Well That's Not Very Nice","yo this is sad","vox_degenerat<U+262A>","7",FALSE,"250"
"#11","Well That's Not Very Nice","At least somebody cares on like mom and her boyfriend ","catberra","8",FALSE,"250"
"#12","Guess I Heard That Wrong","I know enough about Rikers from TV to know it isn't somewhere you want to end up ","Lindsay Stevens","1",FALSE,"248"
"#12","Guess I Heard That Wrong","Outcome 1: If he’d been a white kid. Outcome 2: Reality check. Man I think this series is going to break my heart. ","Craters","6",FALSE,"248"
"#12","Guess I Heard That Wrong","WHY IS HE SUCH A GOOD BROTHER","gilleanfryingpan","3",FALSE,"248"
"#12","Guess I Heard That Wrong","oh nooooo rikers is a very bad prison my fam were talking about it last night oof","neftana23","9",FALSE,"248"
"#12","Guess I Heard That Wrong","Also was one a positive outcome that he made in his mind a and the other the true outcome","catberra","12",FALSE,"248"
"#12","Guess I Heard That Wrong","Yeah","Robo Falcon","2",TRUE,"248"
"#12","Guess I Heard That Wrong","a Brother Gotta Do What a Brother Gotta Do","catberra","12",FALSE,"248"
"#13","A Change Gone Come ","Wow, this is a lot of perspective so far! Probs a lot of hard work","Wizardsaint","1",FALSE,"257"
"#13","A Change Gone Come ","omg she is so pretty",".harry potter.","3",FALSE,"257"
"#13","A Change Gone Come ","I wanna sub to her","gilleanfryingpan","4",FALSE,"257"
"#13","A Change Gone Come ","deathdroooop","neftana23","7",FALSE,"257"
"#13","A Change Gone Come ","I understand Lily was angry. BUT that's an abused teen who just found out about HIS brother. His aggressive attitude was wrong but Lily should have showed some type of restraint. ","Tyrkie","14",FALSE,"257"
"#13","A Change Gone Come ","Well, yeah, but she was shocked by looking the brother was going to move in, angry at how the brother was being disrespectful and afraid of the feel of being discriminate. ","AoiYeyi","6",TRUE,"257"
"#13","A Change Gone Come ","Adults who fight children are pathetic. Reign in that temper and act like an adult, is what I think.","Honin Akecheta","3",TRUE,"257"
"#13","A Change Gone Come ","I feel like it depends how old she is. If she’s like 19-20, I can understand getting mad enough to fight a teenager cause you basically still are one. But past 21? You need to keep your hands to yourself.","RedtheGreyFox","1",TRUE,"257"
"#13","A Change Gone Come ","\"It's 2am and I still ain't done, y'all\" LMAO Lily out here being a whole mood goddamn","SpiritMoonBlue","28",FALSE,"257"
"#14","FIGHT!!!!","I love this comic and I love how real it is. Thanks author!","risemika","1",FALSE,"243"
"#14","FIGHT!!!!","I love being Canadian","gilleanfryingpan","9",FALSE,"243"
"#14","FIGHT!!!!","lol","happycat(:","1",TRUE,"243"
"#14","FIGHT!!!!","The best Canadian is Jordan Peterson","swishyskirt","0",TRUE,"243"
"#14","FIGHT!!!!","so running around in the streets with signs is going to change who our president is? i don't think so. trump is out president now (no matter how much of an idiot he is).","happycat(:","11",FALSE,"243"
"#14","FIGHT!!!!","Unfortunately...","sausage172000","7",TRUE,"243"
"#14","FIGHT!!!!","well yeah, but nevertheless he is our president","happycat(:","4",TRUE,"243"
"#14","FIGHT!!!!","That doesn’t mean people can’t make themselves heard. ","Arlyeigh","18",TRUE,"243"
"#14","FIGHT!!!!","they shouldn't if 'making themselves heard' means running around in the streets and disrupting the peace just because they don't like the president! he's not a dictator, or a murderer! he's just stupid and he cusses a lot. it could be worse (but you know who are bad? the idiots who go around protesting things that they cannot change. it is a waste of time and energy)","happycat(:","2",TRUE,"243"
"#14","FIGHT!!!!","Well, though sometimes I think protesting is useless, that way people who haven't heard about them can listen to them. But I also think they should get into action. Like getting lawyers to help them change the law. ","AoiYeyi","5",TRUE,"243"
"#14","FIGHT!!!!","Protesting is a call to change  something people WANT to change. A start. If women didn’t protest and march for equal rights, there a fair chance we wouldn’t have made progress. Besides, it’s more than “they don’t like the president”. They disagree with the decisions being made, and want it to change. It COULD be worse, but just because it could be worse doesn’t mean they have to be satisfied with the unsatisfactory.","Naoir","16",TRUE,"243"
"#14","FIGHT!!!!","I didn’t mean to go off, but figured I’d voice my piece. Everyone deserves a chance <U+2640><U+FE0F>","Naoir","7",TRUE,"243"
"#14","FIGHT!!!!","naoir I don't think that anyone could have explained it better than that. thank you. ","<U+0001F5A4>teasipper<U+0001F5A4>","4",TRUE,"243"
"#14","FIGHT!!!!","i think AoiYeyi explained it best","happycat(:","0",TRUE,"243"
"#14","FIGHT!!!!","We just explained it differently as there are different ways to interpret it and different aspects to being up. Thank you though teasipper and thank you happycat for not being upset by my lengthy response. Hope everyone has a lovely day. <U+2764><U+FE0F>","Naoir","3",TRUE,"243"
"#14","FIGHT!!!!","Well I'm glad that we can respectfully disagree instead of screaming out heads off like the people on the news.","happycat(:","1",TRUE,"243"
"#14","FIGHT!!!!","It’s in the constitution that Americans can peacefully protest, so they’re just exercising their constitutional rights as citizens of this country. My mother is a 19yr veteran of the US. Army/National Guard, she fought overseas so people could exercise their rights. There’s a reason why our constitution still stands!","RedtheGreyFox","4",TRUE,"243"
"#15","Wait...WHAT?!!","This story telling is bomb af!","Wizardsaint","2",FALSE,"243"
"#15","Wait...WHAT?!!","Love how she’s just going drugs all chill on her channel","gilleanfryingpan","5",FALSE,"243"
"#15","Wait...WHAT?!!","...I thought they both knew he was moving in?","sausage172000","2",FALSE,"243"
"#15","Wait...WHAT?!!","no that was what the brother was hoping was going to happen. it was his imagination. if ya get what i mean","neftana23","6",TRUE,"243"
"#15","Wait...WHAT?!!","LGBT Rule","BBSWAG02","7",FALSE,"243"
"#16","Sometimes People SUCK!!!","I like Lily - she's tough, but kind ","Lindsay Stevens","1",FALSE,"259"
"#16","Sometimes People SUCK!!!","“See? Now we’re friends, it’s just that easy.” Oh Lily  I wish everyone thought way. ","Craters","11",FALSE,"259"
"#16","Sometimes People SUCK!!!","Lily has a passion and she isn't afraid to show it#GOGIRL","saphirefan666","14",FALSE,"259"
"#16","Sometimes People SUCK!!!","I always find the diversity of comments in this comic so interesting ","Gari Chutney","7",FALSE,"259"
"#16","Sometimes People SUCK!!!","We stan a trans KWEEN","gilleanfryingpan","2",FALSE,"259"
"#16","Sometimes People SUCK!!!","Lily is the best omg","Arlyeigh","16",FALSE,"259"
"#16","Sometimes People SUCK!!!","It's not nice to make fun of trans or gay people even if they are wrong. And srsly! threatening to kill someone's child is just awful!","happycat(:","14",FALSE,"259"
"#16","Sometimes People SUCK!!!","What do you mean by wrong?","sausage172000","11",TRUE,"259"
"#16","Sometimes People SUCK!!!","","neftana23","0",TRUE,"259"
"#16","Sometimes People SUCK!!!","how is being trans or gay wrong?","<U+0001F5A4>teasipper<U+0001F5A4>","4",TRUE,"259"
"#16","Sometimes People SUCK!!!","Hey, guess what. I’m trans and gay. You gonna tell me I’m wrong?","gilleanfryingpan","3",TRUE,"259"
"#16","Sometimes People SUCK!!!","@gilleanfryingpan: yes. you are wrong. but God still loves you just like He loves every single human being he made","happycat(:","1",TRUE,"259"
"#16","Sometimes People SUCK!!!","and to the rest of you: being trans and/or gay is wrong because the bible says it is","happycat(:","0",TRUE,"259"
"#16","Sometimes People SUCK!!!","also, just in case you didn't notice, the point of this comment was to say that being mean to LGBTQ people is wrong and not to point out the wrongness of being LGBTQ. I also did not mean this as a hate coment. I can still be civil to you while disagreeing with you, and disagreeing with you does not automatically mean that I hate you.","happycat(:","6",TRUE,"259"
"#16","Sometimes People SUCK!!!","reported","KatiekatxKZ","1",TRUE,"259"
"#16","Sometimes People SUCK!!!","not everybody believes in god ","Juliette owo","0",TRUE,"259"
"#16","Sometimes People SUCK!!!","@Juliette owo  Yes, not everyone believes in God, but for the people who do, like me and the OP, we try to live the way Christ did. And I’m gonna tell you right now, no where in the Bible does it say God hates homosexuals. It DOES say that He hates homosexuality, there’s a difference. It is absolutely ok to love the sinner, hate the sin, cause that’s what Jesus did/does. ","RedtheGreyFox","1",TRUE,"259"
"#16","Sometimes People SUCK!!!","wow. thanks @RedtheGreyFox. i honestly expected that no one was going to agree with me when i posted this (and i did get a lot of that). but i'm glad somebody does (:","happycat(:","0",TRUE,"259"
"#17","Well That Was Unexpected ","haha, that guy is going to be shocked when the truth of anatomy comes up.","swishyskirt","3",FALSE,"244"
"#17","Well That Was Unexpected ","Shouldn't Lilly be with the man who she's living with? Is she cheating on that poor man? ","Lily23","2",FALSE,"244"
"#17","Well That Was Unexpected ","No, they’re just roommates. Remember the guy has multiple male partners. We don’t know her sexuality yet, we just know she’s trans ","RedtheGreyFox","3",TRUE,"244"
"#17","Well That Was Unexpected ","“But gimme three days and my legs look like Beyoncé’s weave” MOOD","gilleanfryingpan","12",FALSE,"244"
"#17","Well That Was Unexpected ","do you but be careful","catberra","9",FALSE,"244"
"#18","That's What Friends Are For","the struggle is REAL!","bdw531","0",FALSE,"250"
"#18","That's What Friends Are For","I hope Lily finds true love! ","CopperMortar","3",FALSE,"250"
"#18","That's What Friends Are For","You just have to take that risk darling! Without living in your truth, are you living at all?  ","Ry Riley","2",FALSE,"250"
"#18","That's What Friends Are For","If he’s not willing to look past your gender and see how amazing and beautiful you are, he’s not worth it.","gilleanfryingpan","9",FALSE,"250"
"#18","That's What Friends Are For","Or maybe he wants to date a real women and have the chance to have children with her. Can't do that with a trans.","Talsong Kingslayer","2",TRUE,"250"
"#18","That's What Friends Are For","^^ There are other ways to have a family than traditional ways.","ohmoe","1",TRUE,"250"
"#18","That's What Friends Are For","Why would anyone hate you?","sausage172000","10",FALSE,"250"
"#18","That's What Friends Are For","because some people don't like to date trans people for very valid reasons.","blazethecool","5",TRUE,"250"
"#18","That's What Friends Are For","Like what..? ","sausage172000","1",TRUE,"250"
"#18","That's What Friends Are For","idk people are werid like that, they wouldn't want to date someone trans because they think its werid that someone swicthed genders or maybe they are scared of it.","Dragonsdrinkgreentea","3",TRUE,"250"
"#18","That's What Friends Are For","People want to date real men or women because maybe they want to have children with them one day and you can't do that with a trans. ","Talsong Kingslayer","3",TRUE,"250"
"#18","That's What Friends Are For","@Kingslayer you do realize trans people can get surgery and medically transition from ftm or mtf? Also, calling someone \"a trans\" shows you really don't respect transgender people if you reduce them to their gender identity. Trans women are just as valid as cisgender women, so stop talking like trans women are inherently inferior","Diamondsnake","4",TRUE,"250"
"#18","That's What Friends Are For","so what","catberra","3",FALSE,"250"
"#19","Poor ASS-Umptions  ","ASSumptions XD","gilleanfryingpan","6",FALSE,"236"
"#19","Poor ASS-Umptions  ","You gotta love it when even the judges are bigoted! ","sausage172000","27",FALSE,"236"
"#19","Poor ASS-Umptions  ","Just bein a judge and asking real questions.","blazethecool","4",TRUE,"236"
"#19","Poor ASS-Umptions  ","Well he didn't specify what situation where they living. If the judge meant living with a transwoman then it is prejudice. ","AoiYeyi","15",TRUE,"236"
"#19","Poor ASS-Umptions  ","A lot of judges are short tempered, but it’s better than the parents ","19danny15","7",FALSE,"236"
"#20","First Date","I totally get her fear, but if they are going to do the do, it's super important to tell him!!","Quebecfolks","4",FALSE,"238"
"#20","First Date","\"He\" just said planning a shadow two days in advance and it takes a lot to be a dude. He's a trans just like Lily! ","Tyrkie","12",FALSE,"238"
"#20","First Date","OMG. I love your guess! ","Lily23","1",TRUE,"238"
"#20","First Date","I have a bad feeling about this...","gilleanfryingpan","3",FALSE,"238"
"#20","First Date","Hope it turns out great for Lily. ","AoiYeyi","9",FALSE,"238"
"#20","First Date","You don’t interrupt someone if they have something important to say ","sausage172000","16",FALSE,"238"
"#20","First Date","I feel a ship coming on","19danny15","5",FALSE,"238"
"#20","First Date","just say it","catberra","11",FALSE,"238"
"#21","I Gotta Tell Someone ","Prayin’ for the baby","gilleanfryingpan","5",FALSE,"243"
"#21","I Gotta Tell Someone ","Hopefully the kid won’t, having a child with HIV is just cruel to the child.","19danny15","10",FALSE,"243"
"#21","I Gotta Tell Someone ","When an HIV positive woman takes HIV medication properly there is almost no chance of the baby becoming HIV positive. Hear about it in our TESTED TALK series from young woman who lived it. https://www.instagram.com/p/BmT-nVvlVlh/","TESTED @YGetIt on IG","13",TRUE,"243"
"#21","I Gotta Tell Someone ","But is it better to have an abortion?","gilleanfryingpan","0",TRUE,"243"
"#21","I Gotta Tell Someone ","@gilleanfryingpan It seems that she wants the baby, though. So she would rather not abort her child. ","Yumi Yamada","3",TRUE,"243"
"#22","Bomb Drop","Yeeeeee GO LiLY!!!","risemika","2",FALSE,"249"
"#22","Bomb Drop","I'm so nervous!!","CopperMortar","3",FALSE,"249"
"#22","Bomb Drop","I still say he's a trans too.","Tyrkie","6",FALSE,"249"
"#22","Bomb Drop","Aaaah I hope this turns out okay!!","gilleanfryingpan","2",FALSE,"249"
"#22","Bomb Drop","Yey Lily! Amazing! ","AoiYeyi","7",FALSE,"249"
"#22","Bomb Drop","proud of you Lily, take the first step","catberra","16",FALSE,"249"
"#23","This Could Be Bad","SHE HAD ONE DAMN JOB","GrimmZin","64",FALSE,"246"
"#23","This Could Be Bad","Couldn't do it","catberra","2",TRUE,"246"
"#23","This Could Be Bad","the worst part is that she knew they were coming she knew but uuuuuuugh","neftana23","44",FALSE,"246"
"#23","This Could Be Bad","Exactly Lily knew. Just like I said when she scratched his face. Lily needs to realize that her actions affect others.","Tyrkie","3",TRUE,"246"
"#23","This Could Be Bad","NOOO!!!!! Lily ruined it!!! Poor Dewan ","19danny15","36",FALSE,"246"
"#23","This Could Be Bad","Dammit, Lily! Ya dun goofed *facepalm*","Lindsay Stevens","2",FALSE,"246"
"#23","This Could Be Bad","...","risemika","1",FALSE,"246"
"#23","This Could Be Bad","Whoa, what a selfish person","swishyskirt","1",FALSE,"246"
"#23","This Could Be Bad","ooooooh NNOOOOOOOOOOO!!!!!!!!","CopperMortar","1",FALSE,"246"
"#23","This Could Be Bad","shitttt","yourliloli","1",FALSE,"246"
"#23","This Could Be Bad","ohh no..","QuirkyMika","1",FALSE,"246"
"#23","This Could Be Bad","DAMNIT LILYWE. WERE. ALL.ROOTINGFORYOU!!!","Craters","3",FALSE,"246"
"#23","This Could Be Bad","Well, she just proved the judge right...","Honin Akecheta","6",FALSE,"246"
"#23","This Could Be Bad","Shit","gilleanfryingpan","2",FALSE,"246"
"#23","This Could Be Bad","Crap","s22220","8",FALSE,"246"
"#23","This Could Be Bad","Well that was terrible timing ","sausage172000","13",FALSE,"246"
"#24","Further South ","I’m sure that was hard Lily... He wasn’t the one... NOW! Back to the fight gurl! <U+270A>","Ephemerall","0",FALSE,"247"
"#24","Further South ","Lily was wrong to have made out with that guy without full disclosure.","swishyskirt","5",FALSE,"247"
"#24","Further South ","I appreciate all of this  comic in its entirety. I like lily, I think she’s someone I’d get along with, but I also think I’d be that person standing between lily and Terrance trying to get them to see where each other is coming from. Bless his heart though I’d be pissed  ","K9glacier","2",FALSE,"247"
