"episode","comment_txt","username","likes","reply"
"It Goes Down in the Bathroom","Do these idiots WANT to spread aids??? ","Honin Akecheta","9",FALSE
"It Goes Down in the Bathroom","Who knows, maybe they didn't pay attention in Health class.","Imama Reza","1",TRUE
"It Goes Down in the Bathroom","Don’t they realize you can still get infected by oral","19danny15","23",FALSE
"It Goes Down in the Bathroom","thats y the guy said he wasnt detectable, but the guy said he dont care","neftana23","3",TRUE
"It Goes Down in the Bathroom","Wait, what? Really? That's shocking to know. Interesting(that sounds kinda bad..) But hmm..","Yumi Yamada","2",TRUE
"It Goes Down in the Bathroom","Ur bro going... monkey poo..?","gilleanfryingpan","7",FALSE
"It Goes Down in the Bathroom","ape shit","<U+2665><U+FE0F><U+2744><U+0001F49A><U+0001F338><U+0001F49A><U+0001F349><U+0001F49A><U+26BD><U+FE0F><U+0001F49A><U+0001F424>","16",TRUE
"Ape S#$%","Terrence's brother is a little sh*t, but give the kid a break. He just found out his older brother has HIV and lied about it. I'd be breaking sh*t too if it were me. ","Lindsay Stevens","2",FALSE
"Ape S#$%","KICK. HIM. OUT.","Pomegranate Child","12",FALSE
"Ape S#$%","then leave the house then ","neftana23","20",FALSE
"Ape S#$%","THIS LIL S H . I T","Random-_-Name","11",FALSE
"Ape S#$%","Those scratches are BS! He might end up infected ","Tyrkie","3",FALSE
"Ape S#$%","Then good","Eden Spiva","0",TRUE
"Ape S#$%","That's not how it works.","CopperMortar","2",TRUE
"Ape S#$%","Can I call the lil bro a pain in the a$$ ?","akunomusumechan","11",FALSE
"Ape S#$%","An ungrateful pain in the ass","CopperMortar","3",TRUE
"Ape S#$%","Ouuuuuch","gilleanfryingpan","5",FALSE
"Aftermath ","I don't get it...which Hamilton character is this guy?","happycat(:","7",FALSE
"Aftermath ","that's what I was wondering","throw me off a bridg","0",TRUE
"Aftermath ","I’m not sure if he’s Hercules Mulligan or an extra dancer","The UnWanted fan","5",TRUE
"Aftermath ","yeah i was thinking he might be hercules mulligan (but idk much about him bcuz my parents always make me skips the parts of the songs with him in them)","happycat(:","1",TRUE
"Aftermath ","yea....","happycat(:","1",TRUE
"Well That's Not Very Nice","Damn, this story is keepin it 100.","Lindsay Stevens","2",FALSE
"Well That's Not Very Nice","he just yeeted them so hard","saphirefan666","3",FALSE
"Well That's Not Very Nice","Aaaaaaaah!!!","gilleanfryingpan","1",FALSE
"Well That's Not Very Nice","yo this is sad","vox_degenerat<U+262A>","7",FALSE
"Well That's Not Very Nice","At least somebody cares on like mom and her boyfriend ","catberra","8",FALSE
"Guess I Heard That Wrong","I know enough about Rikers from TV to know it isn't somewhere you want to end up ","Lindsay Stevens","1",FALSE
"Guess I Heard That Wrong","Outcome 1: If he’d been a white kid. Outcome 2: Reality check. Man I think this series is going to break my heart. ","Craters","4",FALSE
"Guess I Heard That Wrong","WHY IS HE SUCH A GOOD BROTHER","gilleanfryingpan","3",FALSE
"Guess I Heard That Wrong","oh nooooo rikers is a very bad prison my fam were talking about it last night oof","neftana23","7",FALSE
"Guess I Heard That Wrong","Also was one a positive outcome that he made in his mind a and the other the true outcome","catberra","9",FALSE
"Guess I Heard That Wrong","Yeah","Robo Falcon","2",TRUE
"Guess I Heard That Wrong","a Brother Gotta Do What a Brother Gotta Do","catberra","10",FALSE
"A Change Gone Come ","Wow, this is a lot of perspective so far! Probs a lot of hard work","Wizardsaint","1",FALSE
"A Change Gone Come ","omg she is so pretty",".harry potter.","3",FALSE
"A Change Gone Come ","I wanna sub to her","gilleanfryingpan","3",FALSE
"A Change Gone Come ","deathdroooop","neftana23","7",FALSE
"A Change Gone Come ","I understand Lily was angry. BUT that's an abused teen who just found out about HIS brother. His aggressive attitude was wrong but Lily should have showed some type of restraint. ","Tyrkie","13",FALSE
"A Change Gone Come ","Well, yeah, but she was shocked by looking the brother was going to move in, angry at how the brother was being disrespectful and afraid of the feel of being discriminate. ","AoiYeyi","6",TRUE
"A Change Gone Come ","Adults who fight children are pathetic. Reign in that temper and act like an adult, is what I think.","Honin Akecheta","3",TRUE
"A Change Gone Come ","I feel like it depends how old she is. If she’s like 19-20, I can understand getting mad enough to fight a teenager cause you basically still are one. But past 21? You need to keep your hands to yourself.","RedtheGreyFox","1",TRUE
"A Change Gone Come ","\"It's 2am and I still ain't done, y'all\" LMAO Lily out here being a whole mood goddamn","SpiritMoonBlue","24",FALSE
"FIGHT!!!!","I love this comic and I love how real it is. Thanks author!","risemika","1",FALSE
"FIGHT!!!!","I love being Canadian","gilleanfryingpan","9",FALSE
"FIGHT!!!!","lol","happycat(:","1",TRUE
"FIGHT!!!!","The best Canadian is Jordan Peterson","swishyskirt","0",TRUE
"FIGHT!!!!","so running around in the streets with signs is going to change who our president is? i don't think so. trump is out president now (no matter how much of an idiot he is).","happycat(:","10",FALSE
"FIGHT!!!!","Unfortunately...","Kyle Majerczyk","7",TRUE
"FIGHT!!!!","well yeah, but nevertheless he is our president","happycat(:","4",TRUE
"FIGHT!!!!","That doesn’t mean people can’t make themselves heard. ","Arlyeigh","16",TRUE
"FIGHT!!!!","they shouldn't if 'making themselves heard' means running around in the streets and disrupting the peace just because they don't like the president! he's not a dictator, or a murderer! he's just stupid and he cusses a lot. it could be worse (but you know who are bad? the idiots who go around protesting things that they cannot change. it is a waste of time and energy)","happycat(:","1",TRUE
"FIGHT!!!!","Well, though sometimes I think protesting is useless, that way people who haven't heard about them can listen to them. But I also think they should get into action. Like getting lawyers to help them change the law. ","AoiYeyi","5",TRUE
"FIGHT!!!!","Protesting is a call to change  something people WANT to change. A start. If women didn’t protest and march for equal rights, there a fair chance we wouldn’t have made progress. Besides, it’s more than “they don’t like the president”. They disagree with the decisions being made, and want it to change. It COULD be worse, but just because it could be worse doesn’t mean they have to be satisfied with the unsatisfactory.","Naoir","14",TRUE
"FIGHT!!!!","I didn’t mean to go off, but figured I’d voice my piece. Everyone deserves a chance <U+2640><U+FE0F>","Naoir","6",TRUE
"FIGHT!!!!","naoir I don't think that anyone could have explained it better than that. thank you. ","<U+0001F5A4>teasipper<U+0001F5A4>","3",TRUE
"FIGHT!!!!","i think AoiYeyi explained it best","happycat(:","0",TRUE
"FIGHT!!!!","We just explained it differently as there are different ways to interpret it and different aspects to being up. Thank you though teasipper and thank you happycat for not being upset by my lengthy response. Hope everyone has a lovely day. <U+2764><U+FE0F>","Naoir","2",TRUE
"FIGHT!!!!","Well I'm glad that we can respectfully disagree instead of screaming out heads off like the people on the news.","happycat(:","0",TRUE
"FIGHT!!!!","It’s in the constitution that Americans can peacefully protest, so they’re just exercising their constitutional rights as citizens of this country. My mother is a 19yr veteran of the US. Army/National Guard, she fought overseas so people could exercise their rights. There’s a reason why our constitution still stands!","RedtheGreyFox","3",TRUE
"Wait...WHAT?!!","This story telling is bomb af!","Wizardsaint","1",FALSE
"Wait...WHAT?!!","Love how she’s just going drugs all chill on her channel","gilleanfryingpan","4",FALSE
"Wait...WHAT?!!","...I thought they both knew he was moving in?","Kyle Majerczyk","2",FALSE
"Wait...WHAT?!!","no that was what the brother was hoping was going to happen. it was his imagination. if ya get what i mean","neftana23","6",TRUE
"Wait...WHAT?!!","LGBT Rule","BBSWAG02","7",FALSE
"Sometimes People SUCK!!!","I like Lily - she's tough, but kind ","Lindsay Stevens","1",FALSE
"Sometimes People SUCK!!!","“See? Now we’re friends, it’s just that easy.” Oh Lily  I wish everyone thought way. ","Craters","9",FALSE
"Sometimes People SUCK!!!","Lily has a passion and she isn't afraid to show it#GOGIRL","saphirefan666","13",FALSE
"Sometimes People SUCK!!!","I always find the diversity of comments in this comic so interesting ","Gari Chutney","5",FALSE
"Sometimes People SUCK!!!","We stan a trans KWEEN","gilleanfryingpan","2",FALSE
"Sometimes People SUCK!!!","Lily is the best omg","Arlyeigh","15",FALSE
"Sometimes People SUCK!!!","It's not nice to make fun of trans or gay people even if they are wrong. And srsly! threatening to kill someone's child is just awful!","happycat(:","13",FALSE
"Sometimes People SUCK!!!","What do you mean by wrong?","Kyle Majerczyk","10",TRUE
"Sometimes People SUCK!!!","","neftana23","0",TRUE
"Sometimes People SUCK!!!","how is being trans or gay wrong?","<U+0001F5A4>teasipper<U+0001F5A4>","3",TRUE
"Sometimes People SUCK!!!","Hey, guess what. I’m trans and gay. You gonna tell me I’m wrong?","gilleanfryingpan","2",TRUE
"Sometimes People SUCK!!!","@gilleanfryingpan: yes. you are wrong. but God still loves you just like He loves every single human being he made","happycat(:","1",TRUE
"Sometimes People SUCK!!!","and to the rest of you: being trans and/or gay is wrong because the bible says it is","happycat(:","0",TRUE
"Sometimes People SUCK!!!","also, just in case you didn't notice, the point of this comment was to say that being mean to LGBTQ people is wrong and not to point out the wrongness of being LGBTQ. I also did not mean this as a hate coment. I can still be civil to you while disagreeing with you, and disagreeing with you does not automatically mean that I hate you.","happycat(:","4",TRUE
"Sometimes People SUCK!!!","reported","KatiekatxKZ","0",TRUE
"Sometimes People SUCK!!!","not everybody believes in god ","Juliette owo","0",TRUE
"Sometimes People SUCK!!!","@Juliette owo  Yes, not everyone believes in God, but for the people who do, like me and the OP, we try to live the way Christ did. And I’m gonna tell you right now, no where in the Bible does it say God hates homosexuals. It DOES say that He hates homosexuality, there’s a difference. It is absolutely ok to love the sinner, hate the sin, cause that’s what Jesus did/does. ","RedtheGreyFox","1",TRUE
"Sometimes People SUCK!!!","wow. thanks @RedtheGreyFox. i honestly expected that no one was going to agree with me when i posted this (and i did get a lot of that). but i'm glad somebody does (:","happycat(:","0",TRUE
"Well That Was Unexpected ","haha, that guy is going to be shocked when the truth of anatomy comes up.","swishyskirt","2",FALSE
"Well That Was Unexpected ","Shouldn't Lilly be with the man who she's living with? Is she cheating on that poor man? ","Lily23","2",FALSE
"Well That Was Unexpected ","No, they’re just roommates. Remember the guy has multiple male partners. We don’t know her sexuality yet, we just know she’s trans ","RedtheGreyFox","2",TRUE
"Well That Was Unexpected ","“But gimme three days and my legs look like Beyoncé’s weave” MOOD","gilleanfryingpan","8",FALSE
"Well That Was Unexpected ","do you but be careful","catberra","9",FALSE
"That's What Friends Are For","I hope Lily finds true love! ","CopperMortar","3",FALSE
"That's What Friends Are For","You just have to take that risk darling! Without living in your truth, are you living at all?  ","Ry Riley","2",FALSE
"That's What Friends Are For","If he’s not willing to look past your gender and see how amazing and beautiful you are, he’s not worth it.","gilleanfryingpan","8",FALSE
"That's What Friends Are For","Or maybe he wants to date a real women and have the chance to have children with her. Can't do that with a trans.","Talsong Kingslayer","2",TRUE
"That's What Friends Are For","^^ There are other ways to have a family than traditional ways.","ohmoe","0",TRUE
"That's What Friends Are For","Why would anyone hate you?","Kyle Majerczyk","10",FALSE
"That's What Friends Are For","because some people don't like to date trans people for very valid reasons.","blazethecool","4",TRUE
"That's What Friends Are For","Like what..? ","Kyle Majerczyk","1",TRUE
"That's What Friends Are For","idk people are werid like that, they wouldn't want to date someone trans because they think its werid that someone swicthed genders or maybe they are scared of it.","Dragonsdrinkgreentea","3",TRUE
"That's What Friends Are For","People want to date real men or women because maybe they want to have children with them one day and you can't do that with a trans. ","Talsong Kingslayer","3",TRUE
"That's What Friends Are For","@Kingslayer you do realize trans people can get surgery and medically transition from ftm or mtf? Also, calling someone \"a trans\" shows you really don't respect transgender people if you reduce them to their gender identity. Trans women are just as valid as cisgender women, so stop talking like trans women are inherently inferior","Diamondsnake","3",TRUE
"That's What Friends Are For","so what","catberra","3",FALSE
"Poor ASS-Umptions  ","ASSumptions XD","gilleanfryingpan","5",FALSE
"Poor ASS-Umptions  ","You gotta love it when even the judges are bigoted! ","Kyle Majerczyk","24",FALSE
"Poor ASS-Umptions  ","Just bein a judge and asking real questions.","blazethecool","4",TRUE
"Poor ASS-Umptions  ","Well he didn't specify what situation where they living. If the judge meant living with a transwoman then it is prejudice. ","AoiYeyi","13",TRUE
"Poor ASS-Umptions  ","A lot of judges are short tempered, but it’s better than the parents ","19danny15","6",FALSE
"First Date","I totally get her fear, but if they are going to do the do, it's super important to tell him!!","Quebecfolks","4",FALSE
"First Date","\"He\" just said planning a shadow two days in advance and it takes a lot to be a dude. He's a trans just like Lily! ","Tyrkie","10",FALSE
"First Date","OMG. I love your guess! ","Lily23","1",TRUE
"First Date","I have a bad feeling about this...","gilleanfryingpan","3",FALSE
"First Date","Hope it turns out great for Lily. ","AoiYeyi","9",FALSE
"First Date","You don’t interrupt someone if they have something important to say ","Kyle Majerczyk","16",FALSE
"First Date","I feel a ship coming on","19danny15","5",FALSE
"First Date","just say it","catberra","10",FALSE
"I Gotta Tell Someone ","Prayin’ for the baby","gilleanfryingpan","5",FALSE
"I Gotta Tell Someone ","Hopefully the kid won’t, having a child with HIV is just cruel to the child.","19danny15","9",FALSE
"I Gotta Tell Someone ","When an HIV positive woman takes HIV medication properly there is almost no chance of the baby becoming HIV positive. Hear about it in our TESTED TALK series from young woman who lived it. https://www.instagram.com/p/BmT-nVvlVlh/","TESTED @YGetIt on IG","10",TRUE
"I Gotta Tell Someone ","But is it better to have an abortion?","gilleanfryingpan","0",TRUE
"I Gotta Tell Someone ","@gilleanfryingpan It seems that she wants the baby, though. So she would rather not abort her child. ","Yumi Yamada","2",TRUE
"Bomb Drop","Yeeeeee GO LiLY!!!","risemika","2",FALSE
"Bomb Drop","I'm so nervous!!","CopperMortar","3",FALSE
"Bomb Drop","I still say he's a trans too.","Tyrkie","6",FALSE
"Bomb Drop","Aaaah I hope this turns out okay!!","gilleanfryingpan","2",FALSE
"Bomb Drop","Yey Lily! Amazing! ","AoiYeyi","7",FALSE
"Bomb Drop","proud of you Lily, take the first step","catberra","15",FALSE
"This Could Be Bad","SHE HAD ONE DAMN JOB","GrimmZin","54",FALSE
"This Could Be Bad","Couldn't do it","catberra","2",TRUE
"This Could Be Bad","the worst part is that she knew they were coming she knew but uuuuuuugh","neftana23","38",FALSE
"This Could Be Bad","Exactly Lily knew. Just like I said when she scratched his face. Lily needs to realize that her actions affect others.","Tyrkie","3",TRUE
"This Could Be Bad","NOOO!!!!! Lily ruined it!!! Poor Dewan ","19danny15","29",FALSE
"This Could Be Bad","Dammit, Lily! Ya dun goofed *facepalm*","Lindsay Stevens","2",FALSE
"This Could Be Bad","...","risemika","1",FALSE
"This Could Be Bad","Whoa, what a selfish person","swishyskirt","1",FALSE
"This Could Be Bad","ooooooh NNOOOOOOOOOOO!!!!!!!!","CopperMortar","1",FALSE
"This Could Be Bad","shitttt","yourliloli","1",FALSE
"This Could Be Bad","ohh no..","QuirkyMika","1",FALSE
"This Could Be Bad","DAMNIT LILYWE. WERE. ALL.ROOTINGFORYOU!!!","Craters","3",FALSE
"This Could Be Bad","Well, she just proved the judge right...","Honin Akecheta","6",FALSE
"This Could Be Bad","Shit","gilleanfryingpan","2",FALSE
"This Could Be Bad","Crap","s22220","8",FALSE
"This Could Be Bad","Well that was terrible timing ","Kyle Majerczyk","13",FALSE
"Further South ","Lily was wrong to have made out with that guy without full disclosure.","swishyskirt","4",FALSE
"Further South ","I appreciate all of this  comic in its entirety. I like lily, I think she’s someone I’d get along with, but I also think I’d be that person standing between lily and Terrance trying to get them to see where each other is coming from. Bless his heart though I’d be pissed  ","K9glacier","2",FALSE
"Further South ","I feel sorry for Lily but I can't blame the dude for kicking her out because of what she did. *sigh* My mind feels so conflicted. ","Lily23","7",FALSE
"Further South ","She needs to stop making herself out to be the victim. She probably damned the chances of that boy ever having a normal stable life due to one bad decision and all she’s thinking about is how some sorry SOB rejected her. “How am I going to be accepted blah blah blah...”Never mind a fifteen year old is either going to be stuck behind bars or thrown in the system again because of her. Sis needs to get her priorities in check and stop making everything about her....","Honin Akecheta","11",FALSE
"Further South ","But when she was talking to the dude she WAS focused on the fact that she screwed up, I feel like the only reason why the other stuff was talking about being accepted is because of the way the guy told her he didn’t wanna be involved with her. ","RedtheGreyFox","0",TRUE
"Further South ","LILY IS A KWEEN","gilleanfryingpan","5",FALSE
"Further South ","Oh well, it’s his loss! Ain’t got no time for transphobes:-)","Arlyeigh","12",FALSE
"Further South ","how is he a transphobe??","blazethecool","8",TRUE
"Further South ","Because he didn’t want to continue dating her because he thought of her as a man, he even said “I’m not gay”. Which is stupid, because she’s a woman.","gilleanfryingpan","4",TRUE
"Further South ","He is a man. He will always be a man. You can't change your DNA.","Talsong Kingslayer","3",TRUE
"Further South ","@Talsong Kingslayer SHE is not a man. SHE is a trans Woman! You need to do some studying up on what that means, because if you did you would know that there is a part of the brain that tells you who/what you are, and in transgender people that part of the brain tells them the opposite of what they were born as. A trans-males brain looks the same as a cis-males brain. A trans-females brain looks the same as a cis-females brain. DO SOME RESEARCH ","RedtheGreyFox","2",TRUE
"Further South ","Oh I did plenty of research and that has not been peer reviewed at all. The \"research\" is not supported at all. But nice try.","Talsong Kingslayer","0",TRUE
"Further South ","Oh no. I understand how he feels but she is a woman now. Oh this is breaking my heart. ","AzureDragon","21",FALSE
"Further South ","and its not the same and you know it","blazethecool","6",TRUE
"Everyone Loves a Party ","The dad said in an earlier episode that he DIDN'T tell his ex he was positive and he was worried about his 4yr old. So he's possibly the reason the mom has it. UNLESS she was the one on the low and gave it to him!","Tyrkie","6",FALSE
"Everyone Loves a Party ","Those faces are such MOODS","gilleanfryingpan","3",FALSE
"Everyone Loves a Party ","The little girls face is me 24/7","ConfusedCookie","8",FALSE
"Everyone Loves a Party ","Elena, isn’t that the girl at the fashion course who does have HIV?","19danny15","11",FALSE
"Everyone Loves a Party ","Yeah the one that Lily became friends with","Gabby Gonzalez","1",TRUE
"Everyone Loves a Party ","The girls face at the end tho.","couchpotatoe25000","10",FALSE
"The Baby is a Comin","omg I love understanding doctors <U+2764>","CopperMortar","5",FALSE
"The Baby is a Comin","I wonder if she gave it to him or if he gave it to her, but I wonder if it really matters at all ","K9glacier","2",FALSE
"The Baby is a Comin","It's a shame she feels she couldn't tell the grandma. I hope she's had the 4yr old tested.","Tyrkie","7",FALSE
"The Baby is a Comin","The doctor is so nice :)","gilleanfryingpan","13",FALSE
"The Baby is a Comin","I love this a lot. the art is pretty. and the stories are relatable to me. keep it up","Kiera Smith","17",FALSE
"Warm Welcome? Not So Much. ","Why are people so negative about aids? ","Eden Spiva","5",FALSE
"Warm Welcome? Not So Much. ","So I just said “watch yo profanïty, and the “anïty” is being bleeped out!! See? Prof***. Anity. A N I T Y. ANITY. What does *** mean? I can say fuck on here, but not ***?","gilleanfryingpan","10",FALSE
"Warm Welcome? Not So Much. ","I laughed way too hard at this comment ",".•°Assasymphony°•.","4",TRUE
"Warm Welcome? Not So Much. ","prof*** ","Grae Lyld","1",TRUE
"Warm Welcome? Not So Much. ","bruhhh","Grae Lyld","0",TRUE
"Warm Welcome? Not So Much. ","prof***","Black Rose4","0",TRUE
